"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"August 8, 2017",Illinois,Chicago,"1 block of East 37th Street",1,6,N/A
"August 6, 2017","New York",Bronx,"Wickham Ave",0,6,N/A
"August 6, 2017","New York",Bronx,"Unionport Rd",0,4,N/A
"August 6, 2017",California,Oakland,"1000 block of 106th Avenue",0,7,N/A
"August 5, 2017","New Jersey",Lakewood,"900 block of Brook Road",0,4,N/A
"August 5, 2017","South Carolina",Allendale,"300 block of Ellis St",1,3,N/A
"August 5, 2017",Florida,Tallahassee,"1939 W Tennessee St",1,3,N/A
"August 4, 2017",Montana,"Lodge Grass","200 block of North Helen Street",3,2,N/A
"August 3, 2017","District of Columbia",Washington,"3426 18th St NE",1,3,N/A
"August 2, 2017",Indiana,"South Bend","2122 Frederickson St",2,2,N/A
"August 2, 2017",Maryland,Baltimore,"900 block of N Broadway",0,4,N/A
"August 1, 2017",Washington,Toppenish,"8000 Block of Lateral C Rd",0,6,N/A
"August 1, 2017",California,Fresno,"Mariposa St and A St",0,7,N/A
"August 1, 2017",Illinois,Chicago,"800 block of N Monticello Ave",0,4,N/A
"July 31, 2017",Illinois,Decatur,"Jasper St and Main St",0,4,N/A
"July 30, 2017",Texas,"El Paso","1810 George Dieter Dr",1,3,N/A
"July 30, 2017",Virginia,Norfolk,"1500 block of Azalea Garden Rd",1,5,N/A
"July 29, 2017","New York",Buffalo,"200 block of Carl St",1,4,N/A
"July 29, 2017","North Carolina",Salisbury,"115 W Fisher St",2,3,N/A
"July 28, 2017",Delaware,Wilmington,"400 block of North Washington Street",0,4,N/A
"July 27, 2017",Illinois,Chicago,"2000 block of E 71st St",1,4,N/A
"July 26, 2017","North Carolina","High Point","2111 E. Green Drive",1,6,N/A
"July 23, 2017",Illinois,Chicago,"1500 block of East 82nd St",1,3,N/A
"July 23, 2017",Louisiana,"Baton Rouge","10360 Ave H",0,4,N/A
"July 22, 2017",Ohio,Cincinnati,"130 E Clifton Ave",0,5,N/A
"July 19, 2017",Virginia,Richmond,"2300 block of Bethel St",0,5,N/A
"July 19, 2017",California,"Los Angeles","Imperial Hwy and Broadway",1,3,N/A
"July 18, 2017","New Jersey",Trenton,"Hewitt St and Division St",1,3,N/A
"July 18, 2017",Wisconsin,Milwaukee,"3000 Block of N 39th St",0,4,N/A
"July 18, 2017",Arizona,"El Mirage","NW Grand Ave and W Thunderbird Rd",0,4,N/A
"July 15, 2017",Pennsylvania,Philadelphia,"21st and Fitzwater",1,3,N/A
"July 15, 2017",Illinois,Chicago,"12200 block of S Throop St",0,4,N/A
"July 9, 2017",Virginia,Lawrenceville,"500 block Sturgeon Rd",0,7,N/A
"July 8, 2017",Ohio,Cincinnati,"9917 Capstan Dr",1,8,N/A
"July 8, 2017",Illinois,Alton,"700 block of Oakwood",0,4,N/A
"July 6, 2017",Mississippi,Meridian,"Eighth Ave",0,4,N/A
"July 5, 2017",Georgia,Savannah,"Jefferson Street and West St. Julian Street",0,4,N/A
"July 5, 2017",Illinois,"Chicago (Roseland)","11000 block of S Eberhart",2,2,N/A
"July 5, 2017",Maine,Madison,"300 block of Russell Rd",4,1,N/A
"July 4, 2017",Florida,"Orlando (Pine Castle)","501 W Lancaster Rd",0,4,N/A
"July 4, 2017",Virginia,Hampton,"500 block of Patterson Ave",1,4,N/A
"July 4, 2017","North Carolina",Raleigh,"105 E South St",1,3,N/A
"July 3, 2017",Michigan,Pontiac,"50 block of Thorpe St",1,3,N/A
"July 3, 2017",Alabama,Prattville,"112 Highway 82 Byp E",3,1,N/A
"July 2, 2017","New Jersey","Jersey City","Wilkinson Avenue",0,4,N/A
"July 2, 2017","South Carolina",Greenwood,"SC 72 Bypass",0,4,N/A
"July 1, 2017",Illinois,Momence,"2727 S 13000 Rd E",0,4,N/A
"July 1, 2017","New Jersey",Newark,"Lincoln Park and Pennsylvania Avenue",2,2,N/A
"July 1, 2017",California,Oakland,"3200 Humboldt Ave",0,4,N/A
"July 1, 2017",Arkansas,"Little Rock","220 W 6th St",0,25,N/A
"June 30, 2017","New York",Bronx,"1650 Grand Concourse",2,6,N/A
"June 27, 2017",Illinois,Chicago,"200 block of S Lotus",0,5,N/A
"June 25, 2017","District of Columbia",Washington,"5900 block of Southern Ave SE",0,4,N/A
"June 25, 2017",Missouri,"Saint Louis","5000 block of Thekla Ave",1,3,N/A
"June 24, 2017",Florida,"Fort Lauderdale","2335 NW 16th Ct",1,4,N/A
"June 24, 2017","New York","New York (Manhattan)","114th St and Manhattan Ave",0,5,N/A
"June 24, 2017","New Jersey",Willingboro,"Pastoral Lane",0,4,N/A
"June 22, 2017",Georgia,Atlanta,"1100 block of Osborne Street",1,6,N/A
"June 18, 2017",Missouri,"Saint Louis","1900 block of N 14th St",3,2,N/A
"June 18, 2017","District of Columbia",Washington,"3100 Block of Buena Vista Terrace SE",0,4,N/A
"June 18, 2017",Illinois,Chicago,"3300 block of W Crystal",0,4,N/A
"June 18, 2017","South Carolina","Myrtle Beach","311 N Ocean Blvd",0,7,N/A
"June 17, 2017",Ohio,Columbus,"6252 Busch Blvd",1,4,N/A
"June 17, 2017",Illinois,Chicago,"1 block of North Latrobe",0,4,N/A
"June 15, 2017","New Mexico","La Madera","491 NM 111",5,0,N/A
"June 15, 2017",Virginia,Richmond,"4053 Old Brook Road",1,3,N/A
"June 14, 2017",Ohio,Canton,"14th St. NE and Gibbs Ave. NE",0,4,N/A
"June 14, 2017",Virginia,Alexandria,"420 E Monroe Ave",1,5,N/A
"June 14, 2017",California,"San Francisco","720 San Bruno",4,2,N/A
"June 13, 2017",Maryland,Baltimore,"3300 block of Ayrdale Avenue",0,4,N/A
"June 13, 2017",Maryland,Baltimore,"1200 block of Bonaparte Avenue",2,2,N/A
"June 13, 2017",Missouri,"Saint Louis (University City)","Ferguson Ave and Plymouth Ave",0,4,N/A
"June 11, 2017",Illinois,Chicago,"3300 block of W Douglas Blvd",0,9,N/A
"June 11, 2017",Tennessee,Chattanooga,"4272 Bonny Oaks Drive",0,4,N/A
"June 11, 2017",Texas,Houston,"505 Cypress Station Dr",0,4,N/A
"June 10, 2017",Tennessee,Memphis,"571 East Street",0,4,N/A
"June 9, 2017",Texas,"Fort Worth","East Davis Avenue and New York Avenue",2,5,N/A
"June 8, 2017",Louisiana,"New Orleans","3650 Franklin Ave",0,6,N/A
"June 6, 2017",Utah,Sandy,"2232 Alta Canyon Drive",3,2,N/A
"June 5, 2017",Florida,Orlando,"2427 Forsyth Rd",6,0,N/A
"June 3, 2017",Missouri,"Saint Louis","1600 Block of Union Blvd",2,2,N/A
"June 3, 2017",Louisiana,"New Orleans","3717 Tulane Ave",3,2,N/A
"June 2, 2017",Texas,Laredo,"5301 McPherson Rd",2,3,N/A
"June 2, 2017",California,"Los Angeles","89th St and Broadway",1,3,N/A
"June 1, 2017",Missouri,"Saint Louis","Beacon Ave and Lillian Ave",3,1,N/A
"May 30, 2017",Ohio,Middletown,"1200 Elliott Dr",1,3,N/A
"May 29, 2017",Kentucky,Louisville,"231 Witherspoon St",1,3,N/A
"May 28, 2017",Alabama,"Phenix City","100 block of 6th Street South",0,12,N/A
"May 28, 2017","New Jersey",Paterson,"86 Main Street",1,5,N/A
"May 28, 2017",Mississippi,"Moss Point","6103 Hwy. 63",0,5,N/A
"May 27, 2017","New York","New York (Manhattan)","318 W 14th St",0,4,N/A
"May 27, 2017","District of Columbia",Washington,"100 block of Q Street Northwest",1,7,N/A
"May 27, 2017",Mississippi,"Bogue Chitto","2871 Lee Drive",8,1,N/A
"May 26, 2017",Florida,Miami,"2730 NW 167th St",0,4,N/A
"May 21, 2017",Iowa,"Des Moines","4300 Beaver Dr",1,3,N/A
"May 21, 2017",Arizona,Mesa,"441 N Val Vista Dr",0,4,N/A
"May 20, 2017",Pennsylvania,Philadelphia,"2100 block of W Huntingdon St",0,10,N/A
"May 16, 2017","South Carolina",Ruffin,"21785 Lowcountry Hwy",3,1,N/A
"May 14, 2017",Arkansas,Jonesboro,"311 S Main St",1,6,N/A
"May 14, 2017",Illinois,Dolton,"14112 Chicago Road",0,5,N/A
"May 14, 2017",Florida,"Avon Park","Hal McRae Blvd and Delaney Ave",0,5,N/A
"May 14, 2017",Texas,"Fort Worth","8600 block of Calmont Ave",0,4,N/A
"May 10, 2017","New Jersey",Trenton,"300 block of Centre St",1,3,N/A
"May 9, 2017",Kansas,"Kansas City","1900 block of S. Boeke",3,1,N/A
"May 7, 2017",Illinois,Chicago,"2600 block of 46th Pl",2,8,N/A
"May 4, 2017",Michigan,Flint,"600 block of Copeman Boulevard",1,3,N/A
"May 2, 2017",Florida,Jacksonville,"1566 West 24th Street",1,3,N/A
"May 1, 2017",Texas,Dallas,"3200 block of Reynolds Ave",2,3,N/A
"April 30, 2017",Kansas,Topeka,"4104 SW 28th",4,1,N/A
"April 30, 2017",Florida,Jacksonville,"1200 Ken Knight Dr N",0,5,N/A
"April 30, 2017","South Carolina",Loris,"268 N Sea Green Rd",1,5,N/A
"April 30, 2017",California,"San Diego","9080 Judicial Dr",2,6,N/A
"April 29, 2017",Maryland,Germantown,"12800 block of Kitchen House Way",1,3,N/A
"April 29, 2017",California,"Los Angeles (Boyle Heights)","Murchison St and Lancaster Ave",1,3,N/A
"April 29, 2017",California,Sacramento,"3800 block of 26th Avenue",0,5,N/A
"April 29, 2017",California,Whittier,"10000 block of Carmentia Rd",1,5,N/A
"April 29, 2017",California,Compton,"2000 Block of N Nestor Ave",0,4,N/A
"April 29, 2017",Virginia,"Virginia Beach","200 block of 18th St",0,4,N/A
"April 28, 2017",Pennsylvania,Chester,"5 E 21st St",0,4,N/A
"April 27, 2017","New Jersey",Newark,"1100 block of S Orange Ave",1,3,N/A
"April 26, 2017",Florida,Miami,"SW 264th St and 139th Ave",0,4,N/A
"April 21, 2017",Florida,"Palm Bay","2500 block of Vernon Dr",2,2,N/A
"April 20, 2017",Kentucky,Louisville,"700 block of East Jacob Street",0,4,N/A
