"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 17, 2015",Louisiana,"Mount Airy","200 block of Marigold Street",0,0,N/A
"December 16, 2015",Texas,Cypress,"Kendal Ridge and Columbia Pines",1,0,N/A
"December 16, 2015",Nevada,"Las Vegas","2801 West Charleston Boulevard",1,1,N/A
"December 16, 2015",Georgia,Dallas,"Campground School Road",1,0,N/A
"December 16, 2015",Alabama,"Grove Hill",N/A,1,1,N/A
"December 16, 2015",Florida,Bradenton,"1000 Block of 61st Ave Dr E",1,0,N/A
"December 15, 2015",California,Bakersfield,"700 block of El Toro Drive",0,1,N/A
"December 15, 2015","New York",Staatsburg,"4912 Route 9",0,0,N/A
"December 15, 2015",Mississippi,Pittsboro,"Private Road 2001",1,1,N/A
"December 15, 2015","North Carolina","Bessemer City","East Texas Avenue",1,0,N/A
"December 15, 2015",Utah,Lewiston,"US Highway 91",0,1,N/A
"December 14, 2015",Georgia,Columbus,"1908 Floyd Road",0,3,N/A
"December 14, 2015",Oklahoma,Lawton,"4604 SW J",0,1,N/A
"December 14, 2015",Ohio,Wheelersburg,"11 Lennard St",1,0,N/A
"December 14, 2015",Missouri,Florissant,"6100 block of Rocket Dr",1,0,N/A
"December 14, 2015",Georgia,Macon,"Chatham Street",0,1,N/A
"December 14, 2015",California,"Los Angeles","1700 block of Fifth Avenue",1,0,N/A
"December 14, 2015",Georgia,Columbus,"4011 Valley Road",1,0,N/A
"December 13, 2015",Texas,Houston,"Washington Avenue and Jackson Hill",0,2,N/A
"December 13, 2015",Washington,Spokane,"2008 W. Sunset Blvd.",1,0,N/A
"December 13, 2015",Missouri,"Saint Louis","Iowa and Utah",0,1,N/A
"December 13, 2015","New York",Brooklyn,"Church Avenue and East 91st",0,1,N/A
"December 13, 2015",Arkansas,"Hot Springs National Park (Hot Springs)",N/A,0,0,N/A
"December 13, 2015",Connecticut,Bolton,"262 Boston Turnpike",0,0,N/A
"December 12, 2015",Tennessee,Nashville,"700 block of Douglas Avenue",1,0,N/A
"December 12, 2015",Connecticut,Hartford,"20 Griswold Street",1,0,N/A
"December 12, 2015",Georgia,"Coweta (county)",N/A,0,0,N/A
"December 12, 2015",Wisconsin,Milwaukee,"3466 North 14th Street",1,0,N/A
"December 12, 2015",Maine,Fryeburg,"Lovewell Pond Road",0,1,N/A
"December 11, 2015",Texas,"Harris (county)","16000 block of Spinnaker",0,1,N/A
"December 11, 2015","New Mexico",Albuquerque,"1100 block of Blazick S.W.",1,0,N/A
"December 11, 2015",Georgia,Jefferson,"Jefferson River Road",0,0,N/A
"December 11, 2015","South Carolina",Spartanburg,"S Church St.",1,0,N/A
