"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2015",Missouri,"Kansas City","3000 block of Woodland Avenue",0,1,N/A
"December 31, 2015",Florida,Bradenton,"500 block of 13th Avenue West",0,0,N/A
"December 31, 2015",California,"San Francisco","Fillmore and Turk",0,1,N/A
"December 31, 2015",Arizona,Chandler,"Loop 101 and Chandler Boulevard",1,0,N/A
"December 31, 2015","South Carolina",Gaffney,N/A,1,0,N/A
"December 31, 2015",Mississippi,"Rolling Fork","68 Frontage Road",1,0,N/A
"December 31, 2015",Ohio,Akron,"800 block of East Crosier Street",0,1,N/A
"December 31, 2015",Kentucky,Lexington,"Red Mile Road",0,1,N/A
"December 31, 2015",Pennsylvania,Pittsburgh,"9th Avenue and Penn Avenue",0,0,N/A
"December 31, 2015",Texas,"San Antonio","7800 block of Chambers Street",0,1,N/A
"December 30, 2015",Pennsylvania,Philadelphia,"2500 block of North Bancroft Street",0,1,N/A
"December 30, 2015",Georgia,Lithonia,"4500 block of Idlewood Park",1,0,N/A
"December 30, 2015",Indiana,Indianapolis,"1481 W 10th St",0,1,N/A
"December 29, 2015","North Carolina","Winston Salem (Winston-salem)","Quinn Forest Way",0,1,N/A
"December 29, 2015",Ohio,"Dayton (Trotwood)","1400 block of Hagerman Drive",0,1,N/A
"December 29, 2015",Florida,"Saint Cloud","10th Street",1,0,N/A
"December 28, 2015",California,"Rancho Cucamonga","7429 Arbor Lane",0,1,N/A
"December 28, 2015","South Carolina",Union,"South Enterprise Street",0,1,N/A
"December 28, 2015",Florida,Jacksonville,"Old Middleburg Road",0,1,N/A
"December 28, 2015",Alaska,Bethel,N/A,1,0,N/A
"December 28, 2015",Florida,Jacksonville,"9431 Philips Highway",0,1,N/A
"December 28, 2015","New Jersey",Trenton,"1900 block of South Clinton Avenue",0,1,N/A
"December 28, 2015","New York",Hunt,"New Rd",0,1,N/A
"December 28, 2015",California,"Long Beach","2200 block of Santa Fe Avenue",0,1,N/A
"December 28, 2015",Texas,Borger,"422 N Main St",0,1,N/A
"December 28, 2015",Washington,"Battle Ground","614 N.W. 13th Circle",0,1,N/A
"December 27, 2015",Minnesota,Duluth,"300 block of West Faribault Street",1,0,N/A
"December 27, 2015","New Jersey",Glassboro,"200 block of East High Street",0,1,N/A
"December 27, 2015",California,"Crows Landing","Marshall Road",0,1,N/A
"December 27, 2015",Michigan,Lake,"9000 block of East St",0,1,N/A
"December 26, 2015",Louisiana,"Baton Rouge","11900 block of Nicholson Drive",0,0,N/A
"December 26, 2015",Indiana,"La Porte","5344 South Hupp Road",0,1,N/A
"December 26, 2015",Virginia,"Newport News","400 block of West 27th Street",0,1,N/A
"December 26, 2015",Texas,Burnet,"157 Harold Dr",1,0,N/A
"December 26, 2015",Michigan,Columbiaville,"3000 block of Norway Lake Road",0,1,N/A
"December 26, 2015",Arkansas,"Clark (county)",N/A,1,0,N/A
"December 26, 2015",Michigan,"Kent (county)","Lincoln Lake Avenue",1,1,N/A
"December 26, 2015",Texas,Huntsville,N/A,0,1,N/A
"December 25, 2015",Tennessee,Memphis,"Madison Avenue and BB King Boulevard",0,1,N/A
"December 25, 2015",Colorado,Denver,N/A,0,1,N/A
"December 25, 2015",Texas,Houston,"4000 block of Corder",0,1,N/A
"December 25, 2015","New York",Brooklyn,"755 Fenimore",0,1,N/A
"December 25, 2015",Nevada,"Las Vegas","3600 block of Kelcie Marie Avenue",0,1,N/A
"December 25, 2015",Oregon,Molalla,"30700 block of S Marian St",0,1,N/A
"December 24, 2015","North Carolina","Franklin (Watauga)","123 Old Chigger Trail",0,1,N/A
"December 24, 2015",Tennessee,Nashville,"400 block of Wilclay Drive",1,0,N/A
"December 24, 2015",Georgia,Athens,"250 Epps Bridge Parkway",0,0,N/A
"December 24, 2015",Texas,"Fort Worth (Watauga)","123 Old Chigger Trail",0,1,N/A
"December 24, 2015","South Carolina","Colleton (county)","73 Apostle Lane",0,1,N/A
"December 23, 2015","New Mexico","Rio Rancho","300 block of Aldaba Circle",1,0,N/A
"December 23, 2015","North Dakota",Bismarck,"Claridge Loop",0,1,N/A
"December 23, 2015",Arizona,Tempe,"Warner Road and Hardy Drive",0,1,N/A
"December 23, 2015",Iowa,"Des Moines","5800 Fleur Drive",0,0,N/A
"December 23, 2015",Louisiana,"Baton Rouge","Jefferson Avenue",0,1,N/A
"December 23, 2015",California,Poway,"13550 Danielson St.",0,1,N/A
"December 22, 2015",Wisconsin,Beloit,"212 8th Street",1,0,N/A
"December 22, 2015",Georgia,Augusta,"700 block of East Chapman Street",0,1,N/A
"December 22, 2015",Kansas,Manhattan,"200 block of East Park Road",0,1,N/A
"December 22, 2015",Florida,Miami,"10600 block of Southwest 27th Street",1,0,N/A
"December 21, 2015",Pennsylvania,Pittsburgh,"200 block of Mathilda Street",3,0,N/A
"December 21, 2015",Delaware,Claymont,"749 Montclair Drive",0,1,N/A
"December 21, 2015","New York",Buffalo,"E. Delavan and Wyoming",0,0,N/A
"December 21, 2015",Pennsylvania,"Chester (Eddystone)","1200 block of Saville Ave",1,0,N/A
"December 21, 2015",Missouri,"Poplar Bluff","500 section of County Road 42222",1,0,N/A
"December 20, 2015",Pennsylvania,"Chester (Eddystone)","1200 block of Saville Ave",1,0,N/A
"December 20, 2015",Indiana,"South Bend (Roseland)","215 S Dixie Way",0,1,N/A
"December 20, 2015",Missouri,Gainesville,"MO Highway 5",0,1,N/A
"December 20, 2015",Georgia,Albany,"3100 block of Wax Myrtle Court",0,1,N/A
"December 20, 2015",Colorado,"Larimer (county)","Shoreline Drive",0,1,N/A
"December 20, 2015",Virginia,Richmond,"1701 Fairfield Way",0,1,N/A
"December 20, 2015","New York",Vernon,"Jenkins Rd and Spring House Rd",0,1,N/A
"December 19, 2015",Ohio,Toledo,"4500 N Detroit Ave",0,1,N/A
"December 19, 2015",Louisiana,Thibodaux,"117 Violet St",1,0,N/A
"December 19, 2015",California,"San Diego","3800 block of Caminito Aguilar",0,1,N/A
"December 19, 2015",California,"San Diego","3884 Caminito Aguilar",0,1,N/A
"December 19, 2015",Texas,Houston,"10633 Strickland",0,1,N/A
"December 19, 2015",Georgia,"Atlanta (College Park)","1700 block of Hilltop Way",0,1,N/A
"December 19, 2015",Mississippi,Magee,N/A,1,0,N/A
"December 19, 2015",Nebraska,Omaha,"12441 Miami St.",1,0,N/A
"December 18, 2015",Minnesota,Moorhead,"1300 block of 3rd Avenue N.",0,0,N/A
"December 18, 2015","New York",Schenectady,N/A,0,1,N/A
"December 18, 2015",Florida,"Hollywood (Pembroke Park)","3300 Hallandale Beach Boulevard",0,1,N/A
"December 18, 2015","North Carolina",Wilmington,"5942 Market St.",1,0,N/A
"December 18, 2015",Louisiana,Patterson,"Grandwood Drive",1,0,N/A
"December 18, 2015","New Hampshire",Seabrook,"Farm Lane",0,0,N/A
"December 17, 2015","South Dakota","Lower Brule",N/A,1,0,N/A
"December 17, 2015",Colorado,Aurora,N/A,0,1,N/A
"December 17, 2015",California,"San Diego","500 block of 64th Street",0,1,N/A
"December 17, 2015",Arkansas,Marmaduke,"700-block of North 4th Street",0,1,N/A
"December 17, 2015",Illinois,Belleville,"1800 block of Dalton Dr",1,0,N/A
"December 17, 2015",Indiana,Greenwood,"800 block of Carmen Lane",0,1,N/A
"December 17, 2015",Michigan,Detroit,Ferguson,1,0,N/A
"December 17, 2015","West Virginia",Huntington,"5300 block of Longwood Road",0,1,N/A
"December 16, 2015",Iowa,Burlington,N/A,0,1,N/A
"December 16, 2015",Missouri,"Buchanan (county)",N/A,0,1,N/A
"December 16, 2015",Oklahoma,Caney,N/A,0,1,N/A
"December 16, 2015",Connecticut,Burlington,"Foote Road",0,1,N/A
"December 16, 2015",Florida,"Dade City","21st Street and Powerline Road",1,0,N/A
"December 16, 2015",Georgia,Savannah,"500 block of Pennsylvania Avenue",0,2,N/A
"December 15, 2015",Virginia,"Front Royal","Nez Perce Way",1,0,N/A
"December 15, 2015",Massachusetts,Boston,"7 Morse Street",0,1,N/A
"December 15, 2015","New York",Staatsburg,"4912 Route 9",0,0,N/A
"December 15, 2015",Oklahoma,Tulsa,"104th and Hudson",0,1,N/A
"December 15, 2015",Missouri,Imperial,"5400 block of Lakewood Terrace",0,1,N/A
