"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2015",Nevada,"Las Vegas","Gilded Crown Court",1,0,N/A
"December 31, 2015",Kentucky,Lexington,"Red Mile Road",0,1,N/A
"December 31, 2015",Arkansas,Crossett,"W. 10th Street",0,1,N/A
"December 30, 2015",Colorado,"Colorado Springs","Ruskin and Whittier Drive",0,1,N/A
"December 30, 2015",California,Rosemead,"3500 block of Strang Avenue",1,0,N/A
"December 30, 2015",Wyoming,Rawlins,"1115 N. Higley Boulevard",1,0,N/A
"December 30, 2015",Pennsylvania,Pittsburgh,"3500 block of California Avenue",0,1,N/A
"December 30, 2015",California,Fresno,"Weber and Thorne Avenues",1,0,N/A
"December 29, 2015",California,Rosemead,"3500 block of Strang Avenue",1,0,N/A
"December 29, 2015",California,"Gustine (Santa Nella)","29000 block of Del Sol Court",1,0,N/A
"December 28, 2015",Utah,Orem,"1757 Village Lane",2,0,N/A
"December 28, 2015",Washington,Spokane,"Highway 195 and Excelsior Road",0,1,N/A
"December 28, 2015",Virginia,Suffolk,"300 block of Causey Avenue",1,0,N/A
"December 28, 2015",Florida,Lakeland,"1563 Turtle Rock Drive",0,1,N/A
"December 27, 2015","New Mexico","Sunland Park",N/A,0,1,N/A
"December 27, 2015",California,Whittier,"10000 block of Tigrina",0,1,N/A
"December 27, 2015",Arizona,Tempe,"Baseline and Hardy",1,0,N/A
"December 27, 2015",Nebraska,Culbertson,"808 Wyoming Street",1,0,N/A
"December 26, 2015",Idaho,Homedale,N/A,1,0,N/A
"December 26, 2015",Arizona,Phoenix,"39th Avenue and Cactus",1,0,N/A
"December 26, 2015",Mississippi,"George (county)","Old Highway 63 and Highway 63",1,0,N/A
"December 26, 2015",Illinois,Chicago,"4700 block of West Erie",2,0,N/A
"December 26, 2015",Illinois,Chicago,"1000 block of West 103rd Place",0,1,N/A
"December 25, 2015",Texas,Houston,"4000 block of Corder",0,1,N/A
"December 25, 2015",California,"Palo Alto","Middlefield Road and 600 block of Forest Avenue",1,0,N/A
"December 25, 2015",California,Hayward,N/A,0,2,N/A
"December 24, 2015","North Carolina",Charlotte,"6801 Northlake Mall Drive",1,1,N/A
"December 24, 2015",California,Porterville,N/A,1,0,N/A
"December 24, 2015",Louisiana,Pride,"16486 Pride-Baywood Road",1,0,N/A
"December 24, 2015",Michigan,Lansing,"5900 block of Selfridge Blvd",1,0,N/A
"December 24, 2015",Tennessee,Rockwood,"Dry Hill Rd and Riggs Chapel Rd",0,1,N/A
"December 23, 2015",Pennsylvania,Abington,"1700 block of Prospect Avenue",1,1,N/A
"December 23, 2015",Texas,Odessa,"1030 Custer Avenue",0,3,N/A
"December 23, 2015",Michigan,Detroit,"8000 block of Whitcomb",1,0,N/A
"December 22, 2015","New Mexico",Albuquerque,"Central Avenue and Utah Street",1,0,N/A
"December 22, 2015",Kentucky,"Covington (Ludlow)","106 Elm Street",1,1,N/A
"December 22, 2015",Vermont,Burlington,"101 Elmwood Avenue",1,0,N/A
"December 21, 2015",Texas,"Corpus Christi","14600 block of Red River Drive",0,1,N/A
"December 21, 2015",Pennsylvania,Waymart,"9 Volunteer Way",1,0,N/A
"December 21, 2015",California,Hemet,"1400 block of South State Street",1,0,N/A
"December 21, 2015",Florida,Deltona,"2761 Muldive Court",1,0,N/A
"December 21, 2015",Georgia,Douglasville,"Midway Road",1,0,N/A
"December 21, 2015",Louisiana,"Breaux Bridge",N/A,1,0,N/A
"December 21, 2015",Colorado,Denver,"1103 Yosemite Street",1,0,N/A
